id,name,city,province,description,category,metadata,ratings,budget,latitude,longitude,operating hours,contact information
192,Casa Verde Hotel and Events Center,Imus,Cavite,"""Casa Verde Hotel and Events Center is a boutique stay and venue in Imus. It offers well-appointed rooms, a ballroom for weddings, and on-site catering services. The landscaped courtyard hosts garden receptions.""",Hotel,"""Boutique, Events, Garden""",4.1,3000,14.4192275,120.9344937,"""Check in time 2:00PM, Check out 12:00PM""",casaverdeimus.com
193,Dragonfly Apartments and Transient House,Bacoor,Cavite,"""Dragonfly Apartments and Transient House is a budget lodging in Bacoor. It provides self-contained studios with kitchenettes and laundry facilities. Free parking and fast Wi-Fi cater to long-stay guests.""",Hotel,"""Budget, Accommodation""",4.3,1300,14.436997,120.950846,"""Check in time 2:00PM, Check out time 10:00 AM""",0947 565 4076
194,Villa Theresa,Cavite City,Cavite,"""Villa Theresa is a private villa rental in Cavite City. It features four bedrooms, a fully-equipped kitchen, and a wraparound terrace. Amenities include a private pool, BBQ grill, and panoramic sunset views.""",Resort,"""Private, Poolside, Family Friendly, Romantic""",4.3,10000,14.4725831,120.894653,Open 24 hours daily,046 431 8120
195,Jardin De Dasmarinas,Dasmarinas,Cavite,"""Ffeaturing an Olympic-size main pool, two kiddie pools with slides, and private plunge pools available for exclusive rental",Resort,"""Resort, Family Friendly, Swimming Pools, Celebration Venue""",4.3,300,14.3447744,120.9252632,Open 24 hours daily,046 416 1056
196,Kalipayan Resort,Dasmarinas,Cavite,"""Kalipayan Resort is a hot springs and leisure resort in Cavite. It offers hot and cold plunge pools, aqua massage beds, and poolside cottages. The on-site restaurant serves Filipino-Chinese fusion dishes.""",Resort,"""Resort, Family Friendly, Swimming Pools, Celebration Venue""",4.2,300,14.34218089,120.9377847,Open 24 hours daily,046 416 187
197,Cafe Antix,Kawit,Cavite,"""The interior of the restaurant boasts a diverse collection of antiques - from the old television set, cash register, an array of old soda bottles, electric fans and other vintage knick-knacks, it's almost like stepping into a cozy museum.""",Cafe,"""Specialty Coffee, Music, Creative""",4.5,400,14.4777312,120.8931349,11:00 AM - 7:00PM Daily,046 431 6196
198,Subi Monte Cafe ,Kawit,Cavite,"""Serves specialty coffees, unli cake-and-coffee deals, plus hearty mains like the Subi-Monte Mountain Burger, pastas, and rice meals""",Cafe,"""Hiking-themed cafe""",4,200,14.4778312,120.8934263,9:00 AM - 11:00PM Daily,046 402 3759
199,Cafe 506,Kawit,Cavite,"""Cafe 506 is a cozy and affordable dining spot located along EPZA Diversion Road in Kawit, Cavite. Known for its generous portions and flavorful dishes, the café offers a diverse menu that blends Filipino comfort food with international favorites. Signature offerings include Arroz Negra, Kimcheese Rice, Pritchong Kare-Kare, and the 506 Burger.""",Cafe,"""Cozy, Affordable, Family-Friendly""",4.4,300,14.4263967,120.8898008,10:00 AM - 9:00 PM Daily,046 443 7581
200,St. Francis of Assisi Parish Church,General Trias,Cavite,"""Saint Francis of Assisi Parish Church is the first Roman Catholic parish of General Trias, built in the 18th century with distinctive Earthquake Baroque architecture and an attached convent where the Philippine national anthem was first rehearsed""",Religious Site,"""Historical, Baroque Architecture, Religious Site, Cultural Heritage, Family-Friendly""",4.7,0,14.3854985,120.8800089,NaN,NaN
201,Villa Colmenar Natural Spring Resort,Indang,Cavite,"""Villa Colmenar in Indang is a Santorini-inspired resort famed for its five crystal-clear pools fed by natural spring water and its white-and-blue Mediterranean theme """,Resort,"""Santorini-Inspired, Natural Spring, Resort, Mediterranean Style, Family-Friendly""",4.3,170,14.1712515,120.8590459,12:00 AM - 12:00PM Daily,0906 424 4079
202,Nuzen Art Gallery,Tagaytay,Cavite,"""Nuzen Art Gallery in Tagaytay showcases contemporary visual and multimedia art exhibitions within indoor spaces set against the city’s scenic highland backdrop""",Museum,"""Art Gallery, Contemporary Art, Cultural Experience, Scenic Views, Exhibitions""",4.5,0,14.0976694,120.9205739,11:00 AM - 8:00PM,NaN
203,Coffee & Dreams,Tagaytay,Cavite,"""Coffee & Dreams is a cozy, instagrammable café in Tagaytay offering artisanal coffee, pastries, and an in-house perfume and candle boutique amid lush greenery""",Cafe,"""Cozy, IG-Worthy, Artisanal Coffee, Café Retail, Unique Ambience""",4.5,250,14.11987256,120.9608232,NaN,NaN
204,Cocovalley Richnez Waterpark,Dasmarinas,Cavite,"""Coco Valley Richnez Waterpark in Dasmariñas features five swimming pools, slides, picnic areas, and life-jackets for a safe, family-friendly outing""",Resort,"""Waterpark, Family-Friendly, Pools, Slides, Day Trip""",4,200,14.31673473,120.9853455,6:00AM - 4:00AM Daily,0921 936 0908
205,JDG Lomi House,Tagaytay,Cavite,"""JDG Lomi House in Tagaytay serves hearty Filipino lomi noodle soup in a casual, budget-friendly setting with mountain views""",Restaurant,"""Filipino Noodles, Comfort Food, Casual Dining, Budget-Friendly, Scenic Views""",4.8,200,14.13918368,120.9881167,7:00 AM - 8:00 PM Daily,0967 273 1670
206,Filomena Springs Nature Resort & Farm,Amadeo,Cavite,"""Filomena Springs in Cavite City offers a natural stone-lined spring pool, shallow kiddie areas, picnic huts, and on-site farm animals for an eco-retreat""",Resort,"""Eco-Tourism, Natural Spring, Farm Experience, Nature Retreat, Picnic""",4.1,300,14.18973332,120.8684367,Open 24 hours daily,0939 113 6257
207,Hidden Tapsihan,Kawit,Cavite,"""Tapsihan in Kawit known for its tender, garlicky beef tapa served with rice and eggs.""",Restaurant,"""Tapsilog, Filipino Comfort Food, Budget-Friendly, Hidden Gem, Casual Dining""",4.5,0,14.44340868,120.9007045,Open 24 hours daily,046 484 7003
208,Ayala Malls Serin,Tagaytay,Cavite,"""A mid-sized lifestyle mall in Tagaytay combining open-air walkways, rustic-chic architecture, and a curated mix of local and international shops and eateries.""",Leisure,"""Lifestyle Mall, Open-Air, Retail Therapy, Dining Options, Family-Friendly""",4.4,0,14.11269829,120.9591738,10:00 AM - 10:00 PM,(046) 544 0279
209,Caynipa Cove,Ternate,Cavite,"""A secluded beach cove in Ternate featuring near-white sand, calm waters ideal for swimming, and basic camping facilities. """,Beach,"""Beach Getaway, Swimming, Camping, Secluded, Day Trip""",4.4,0,14.26758379,120.6365729,NaN,NaN
210,Paniman Beach Resort,Ternate,Cavite,"""A public beach within the Puerto Azul complex offering free entry, payable cottages, and pristine shorelines perfect for picnic-style day tours""",Beach,"""Public Beach, Cottages, Picnic Area, Waterfront, Day Tour""",4,1000,14.27987514,120.6666294,NaN,0945 338 4863
211,Dagisdis ng Maragondon,Maragondon,Cavite,"""A nature-adventure resort in Maragondon with air-conditioned cabins, infinity pools overlooking Mt. Marami, and Instagram-worthy viewing decks""",Leisure,"""Nature Resort, Adventure Activities, Scenic Views, Eco-Tourism""",4.3,150,14.22379855,120.7617492,NaN,0930 922 3992
212,Original Digman Halo-halo,Bacoor,Cavite,"""A popular roadside stall in Bacoor serving traditional halo-halo with generous layers of sweet beans, fruits, and shaved ice""",Restaurant,"""Desserts, Halo-halo, Street Food, Refreshing, Filipino Sweet Treats""",4,100,14.4608978,120.9427971,8:00AM - 9:00PM,NaN
213,7twenty7 American Dinner,Tagaytay,Cavite,"""A retro-themed restaurant offering a blend of American diner classics and Filipino favorites. It aims to provide a nostalgic, cozy, and affordable dining experience reminiscent of the 1950s and 60s.""",Restaurant,"""American Cuisine, Diner, Burgers, Milkshakes, Casual Dining""",4.1,500,14.09955288,120.9221889,10:00AM - 10:00PM Daily,727americandiner.com
214,Fields at Bayleaf Cavite,General Trias,Cavite,"""Fields is the signature all-day dining restaurant on the 8th floor of The Bayleaf Cavite hotel in General Trias, serving international and locally-sourced dishes in a cozy indoor setting with panoramic city""",Restaurant,"""International Cuisine, Locally-Sourced, Indoor, City Views, Cozy Ambience""",4.7,800,14.28991713,120.9167454,12:00PM - 10:00PM Daily,(046) 435 5000
215,Anya Resort Tagaytay,Tagaytay,Cavite,"""A luxury garden resort in Tagaytay offering private villas, and Mediterranean-inspired architecture set within lush landscapes""",Resort,"""Luxury resort, Romantic Getaway""",4.4,12000,14.13664648,120.9702076,"""Check in time : 3:00PM, Check out time: 12:00PM""",0917 704 6159
216,La Traviesa Hotel & Resort,General Trias,Cavite,"""A boutique resort in Indang featuring modern rooms, a lagoon-style pool, and panoramic views of the surrounding caviteño countryside.""",Resort,"""Boutique Resort, Lagoon Pool, Countryside Views, Modern Rooms, Relaxing, Family-friendly""",4.3,4000,14.31017486,120.8979926,"""Check in time 2:00PM, Check-out  time: 12:00PM""",latraviesaresort.com.ph
217,Ume-ya,Bacoor,Cavite,"""Ume-ya Jozam is a cozy Japanese restaurant located in Bacoor, Cavite, offering a diverse menu that includes sushi, ramen, rice bowls, and bento sets at affordable prices. The restaurant features a minimalist Japanese-inspired interior, providing a serene dining atmosphere.""",Restaurant,"""Japanese Cuisine, Sushi, Ramen, Affordable Dining, Cozy Ambience, Bacoor""",4.4,500,14.42502113,120.9652537,11:00AM - 10:00PM,0920 983 0318
218,Pamahaw,Tagaytay,Cavite,"""Offers a diverse menu that includes breakfast, lunch, and dinner options. Serves a variety of dishes throughout the day, such as seafood, pasta, and traditional Filipino favorites.""",Restaurant,"""Filipino Cuisine, All-Day Dining, Family-Friendly, Casual Dining, Silang""",4.6,800,14.15366583,120.9945332,9:00 AM - 9:00 PM Daily,0917 717 8877
